dataset	super_pop	code
simons	p1	p1_proband
simons	fa	fa_father
simons	mo	mo_mother
simons	s1	s1_unaffected_sibling
1kg	AFR	African
1kg	AMR	American
1kg	EAS	East_Asian
1kg	EUR	European
1kg	SAS	South_Asian
1kg	ARC	Archaics
1kg	D&N	Denisovan_&_Neanderthal
1kg	BONOBO	Bonobo
1kg	CHIMPANZEE	Chimpanzee
1kg	GORILLA	Gorilla
1kg	ORANGUTAN	Orangutan
hgdp	AFR	African
hgdp	AMR	American
hgdp	EA	East_Asian
hgdp	OCN	Oceanic
hgdp	SA	South_Asian
hgdp	SIB	Siberian
hgdp	WEA	Western_European
hgdp	ARC	Archaics
hgdp	D&N	Denisovan_&_Neanderthal
hgdp	BONOBO	Bonobo
hgdp	CHIMPANZEE	Chimpanzee
hgdp	GORILLA	Gorilla
hgdp	ORANGUTAN	Orangutan
archaics	ARC	Archaics
archaics	D&N	Denisova_&_Neanderthal
nhp	BONOBO	Bonobo
nhp	CHIMPANZEE	Chimpanzee
nhp	GORILLA	Gorilla
nhp	ORANGUTAN	Orangutan
